[2025-05-11 22:59:46.871] [info]  DiscordSplash.signalReady
[2025-05-11 22:59:46.932] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-11 22:59:46.935] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-11 22:59:46.938] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-11 22:59:46.940] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-11 22:59:46.940] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-11 22:59:46.941] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-11 22:59:46.943] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-11 22:59:46.944] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-11 22:59:46.944] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-11 22:59:46.945] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-11 22:59:46.946] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-11 22:59:46.947] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-11 22:59:46.948] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-11 22:59:46.949] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-11 22:59:47.221] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-11 22:59:47.222] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-11 22:59:47.683] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
